timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex
1678405864.6267242,0x201,0,1,0,0,8,0530,FFF8,FF40
1678405864.6276972,0x201,0,1,0,0,8,0530,FFFC,FF88
1678405864.6285586,0x201,0,1,0,0,8,0530,0000,FF40
1678405864.6298113,0x201,0,1,0,0,8,0532,0003,FF3F
1678405864.630618,0x201,0,1,0,0,8,0533,000A,FEF7
1678405864.6318867,0x201,0,1,0,0,8,0534,0007,FEAD
1678405864.6326299,0x201,0,1,0,0,8,0534,0003,FEAD
1678405864.6339073,0x201,0,1,0,0,8,0534,0003,FE7E
1678405864.6346617,0x201,0,1,0,0,8,0534,FFFC,FEAD
1678405864.6354802,0x201,0,1,0,0,8,0534,FFFC,FEAD
1678405864.6368241,0x201,0,1,0,0,8,0530,FFF1,FE7E
1678405864.637653,0x201,0,1,0,0,8,052C,FFE6,FF40
1678405864.6384988,0x201,0,1,0,0,8,052A,FFEA,FF41
1678405864.63976,0x201,0,1,0,0,8,0525,FFEA,FF54
1678405864.640526,0x201,0,1,0,0,8,0523,FFE6,FF54
1678405864.6414542,0x201,0,1,0,0,8,0521,FFEA,FF0C
1678405864.6427202,0x201,0,1,0,0,8,051E,FFED,FF53
1678405864.6435018,0x201,0,1,0,0,8,051C,FFED,FF88
1678405864.64477,0x201,0,1,0,0,8,0518,FFF1,FF52
1678405864.645534,0x201,0,1,0,0,8,0516,FFE6,FF51
1678405864.646488,0x201,0,1,0,0,8,0514,FFE6,FF51
1678405864.6474364,0x201,0,1,0,0,8,0513,FFF1,FF51
1678405864.6486967,0x201,0,1,0,0,8,0511,FFF5,FF51
1678405864.6494224,0x201,0,1,0,0,8,050F,FFF5,FF50
1678405864.650698,0x201,0,1,0,0,8,050C,FFED,FF94
1678405864.6514266,0x201,0,1,0,0,8,050A,FFED,FF50
1678405864.6527033,0x201,0,1,0,0,8,0507,FFED,FF8C
1678405864.6534424,0x201,0,1,0,0,8,0505,FFED,FF8B
1678405864.6544056,0x201,0,1,0,0,8,0503,FFEA,FF56
1678405864.6552596,0x201,0,1,0,0,8,0501,FFED,FF54
1678405864.6565366,0x201,0,1,0,0,8,04FD,FFEA,FF52
1678405864.657294,0x201,0,1,0,0,8,04FB,FFEA,FF52
